entityname,subtypename,typename
BSAVE (bitmap format),BASIC commands,BASIC programming language family
Haiku (operating system),Haiku (operating system),BeOS
Be File System,Haiku (operating system),BeOS
History of Haiku (operating system),Haiku (operating system),BeOS
BeOS API,Haiku (operating system),BeOS
Qiqqa,Free BibTeX software,BibTeX
Docear,Free BibTeX software,BibTeX
Qiqqa,Bibliography file formats,Bibliography
Docear,Bibliography file formats,Bibliography
Apache Hadoop,Hadoop,Big data products
Hue (Hadoop),Hadoop,Big data products
H2O (software),Hadoop,Big data products
Apache Spark,Hadoop,Big data products
Apache Mahout,Hadoop,Big data products
C (programming language),C programming language family,C (programming language)
F2c,Free software programmed in C,C (programming language)
C standard library,C standard library,C (programming language)
C string handling,C standard library,C (programming language)
C data types,C standard library,C (programming language)
MISRA C,C programming language family,C (programming language)
Embedded C,C programming language family,C (programming language)
Pro*C,C programming language family,C (programming language)
Include directive,C headers,C (programming language)
.NET DiscUtils,Free software programmed in C Sharp,C Sharp software
SharpDevelop,Free software programmed in C Sharp,C Sharp software
WiX,Free software programmed in C Sharp,C Sharp software
Process.h,Process.h,C headers
Librsvg,Software that uses Cairo,C libraries
Librsvg,GNOME libraries,C libraries
GIO (software),GTK+,C libraries
GIO (software),Applications using D-Bus,C libraries
GIO (software),GNOME libraries,C libraries
GObject,GTK+,C libraries
GObject,Freedesktop.org,C libraries
GObject,GNOME libraries,C libraries
Hybris (software),C standard library,C libraries
Fprint,Software that uses GTK+,C libraries
Fprint,Freedesktop.org libraries,C libraries
GLib,GTK+,C libraries
GLib,GNOME libraries,C libraries
GTK+,GTK+,C libraries
GTK+,Software that uses Cairo,C libraries
Pango,GTK+,C libraries
Pango,Freedesktop.org libraries,C libraries
Pango,GNOME libraries,C libraries
Libxslt,GNOME libraries,C libraries
Libxml2,GNOME libraries,C libraries
Libxml2,GNOME stubs,C libraries
Simple DirectMedia Layer,Simple DirectMedia Layer,C libraries
XCB,Freedesktop.org,C libraries
XCB,Freedesktop.org libraries,C libraries
Spec Sharp,C Sharp programming language family,C programming language family
Objective-C,Objective-C,C programming language family
C??,C Sharp programming language family,C programming language family
Vala (programming language),Vala (programming language),C programming language family
Polyphonic C Sharp,C Sharp programming language family,C programming language family
Freedup,Free software programmed in C,C software
SWAD (software),Free software programmed in C,C software
C++,C++ programming language family,C++
CodeSynthesis XSD,C++ libraries,C++
OpenFOAM,C++ software,C++
OpenFOAM,Free software programmed in C++,C++
Brig (C++ libraries),C++ libraries,C++
Brig (C++ libraries),Free software programmed in C++,C++
Lourdes (C++ library),C++ libraries,C++
Lourdes (C++ library),Free software programmed in C++,C++
Libt2n,C++ libraries,C++
Libt2n,Free software programmed in C++,C++
Dune (software),Free software programmed in C++,C++
Boost (C++ libraries),C++ libraries,C++
Boost (C++ libraries),Free software programmed in C++,C++
Functional (C++),C++ Standard Library,C++
Input/output (C++),C++ Standard Library,C++
C++ string handling,C++ Standard Library,C++
Stack (C++),C++ Standard Library,C++
C++/CX,C++ compilers,C++
C++/CX,C++ programming language family,C++
Database Management Library,C++ libraries,C++
POCO C++ Libraries,C++ libraries,C++
Loki (C++),C++ libraries,C++
Open Inventor,Software that uses Qt,C++ libraries
Qt (software),Qt (framework),C++ libraries
Qt (software),S60 (software platform),C++ libraries
WxWidgets,WxWidgets,C++ libraries
D-Bus,KDE Frameworks,C++ libraries
D-Bus,KDE Platform,C++ libraries
wxWidgets,WxWidgets,C++ libraries
Rich Booleans,Software that uses wxWidgets,C++ libraries
ModAssert,Software that uses wxWidgets,C++ libraries
BALL,Science software that uses Qt,C++ libraries
Panoweaver,Software that uses wxWidgets,C++ software
PTGui,Software that uses wxWidgets,C++ software
Google Chrome,Google Chrome,C++ software
MOOSE (software),Free software programmed in C++,C++ software
MBRwizard,Free software programmed in C++,C++ software
BitTorrent (software),Software that uses wxPython,C++ software
BitTorrent (software),Software that uses wxWidgets,C++ software
OpenFOAM,Free software programmed in C++,C++ software
Chromium Embedded Framework,Google Chrome,C++ software
Adobe ColdFusion,CFML compilers,CFML programming language
IgniteFusion,CFML compilers,CFML programming language
Railo,CFML compilers,CFML programming language
SmithProject,CFML compilers,CFML programming language
BlueDragon,CFML compilers,CFML programming language
Lucee,CFML compilers,CFML programming language
Bootstrap (front-end framework),CSS frameworks,Cascading Style Sheets
Cascade Framework,Responsive web design,Cascading Style Sheets
Cascade Framework,CSS frameworks,Cascading Style Sheets
Foundation (framework),CSS frameworks,Cascading Style Sheets
Tableless web design,Responsive web design,Cascading Style Sheets
YAML (framework),CSS frameworks,Cascading Style Sheets
CSS frameworks,Responsive web design,Cascading Style Sheets
CSS frameworks,CSS frameworks,Cascading Style Sheets
Blueprint (CSS framework),CSS frameworks,Cascading Style Sheets
Media queries,Responsive web design,Cascading Style Sheets
Holy Grail (web design),Responsive web design,Cascading Style Sheets
Ruby (programming language),Ruby (programming language),Class-based programming languages
Python for S60,Symbian software,Class-based programming languages
Python for S60,S60 (software platform),Class-based programming languages
C++,C++,Class-based programming languages
C++,C++ programming language family,Class-based programming languages
Java (programming language),Java (programming language),Class-based programming languages
Java (programming language),Java specification requests,Class-based programming languages
AgentSheets,Java (programming language),Class-based programming languages
Lightweight Java,Java (programming language),Class-based programming languages
Oak (programming language),Java (programming language),Class-based programming languages
Embedded C++,C++ programming language family,Class-based programming languages
MetaQuotes Language MQL4/MQL5,C++ programming language family,Class-based programming languages
Google Chrome,Google Chrome,Cloud clients
Chromium (web browser),Google Chrome,Cloud clients
Chromebook,Google Chrome,Cloud clients
Chromebit,Google Chrome,Cloud clients
Chromebox,Google Chrome,Cloud clients
Apache Hive,Hadoop,Cloud computing
Pig (programming tool),Hadoop,Cloud computing
Cascading (software),Hadoop,Cloud infrastructure
Apache Hadoop,Hadoop,Cloud infrastructure
Cloudera,Hadoop,Cloud infrastructure
MapR,Hadoop,Cloud infrastructure
ND4S,Hadoop,Cluster computing
Deeplearning4j,Hadoop,Cluster computing
Gremlin (programming language),Hadoop,Cluster computing
Apache Spark,Hadoop,Cluster computing
Common Lisp Interface Manager,Common Lisp software,Common Lisp
CLX (Common Lisp),Common Lisp software,Common Lisp
UnCommon Web,Common Lisp software,Common Lisp
Weblocks,Common Lisp software,Common Lisp
McCLIM,Common Lisp software,Common Lisp
RegularChains,Computer algebra systems,Computer algebra
Triangular decomposition,Computer algebra systems,Computer algebra
MATLAB,Computer algebra system software for OS X,Computer algebra systems
MATLAB,Computer algebra system software for Linux,Computer algebra systems
MATLAB,Computer algebra system software for Windows,Computer algebra systems
Macsyma,Computer algebra system software for Linux,Computer algebra systems
Reduce (computer algebra system),Computer algebra system software for Linux,Computer algebra systems
Reduce (computer algebra system),Free computer algebra systems,Computer algebra systems
Fermat (computer algebra system),Computer algebra system software for Linux,Computer algebra systems
Macaulay computer algebra system,Computer algebra system software for Linux,Computer algebra systems
FORM (symbolic manipulation system),Free computer algebra systems,Computer algebra systems
Mathematica,Computer algebra system software for OS X,Computer algebra systems
Mathematica,Computer algebra system software for Linux,Computer algebra systems
Mathematica,Computer algebra system software for Windows,Computer algebra systems
Speakeasy (computational environment),Computer algebra system software for OS X,Computer algebra systems
Speakeasy (computational environment),Computer algebra system software for Linux,Computer algebra systems
Speakeasy (computational environment),Computer algebra system software for Windows,Computer algebra systems
MuPAD,Computer algebra system software for Linux,Computer algebra systems
KANT (software),Computer algebra system software for Linux,Computer algebra systems
Scalable Vector Graphics,XML markup languages,Computer file formats
Scalable Vector Graphics,Vector graphics markup languages,Computer file formats
Scalable Vector Graphics,Page description markup languages,Computer file formats
Scalable Vector Graphics,Scalable Vector Graphics,Computer file formats
LOGML,XML markup languages,Computer file formats
XGMML,XML markup languages,Computer file formats
Revisable-Form Text,Markup languages,Computer file formats
Extensible Binary Meta Language,Markup language stubs,Computer file formats
Extensible Binary Meta Language,Markup languages,Computer file formats
SpreadsheetML,Markup languages,Computer file formats
COCOA (digital humanities),Markup languages,Computer file formats
Enriched text,Markup languages,Computer file formats
Compound Document Format,Markup languages,Computer file formats
Device independent file format,TeX,Computer file formats
XML Data Package,Markup language stubs,Computer file formats
General Transit Feed Specification,Web syndication formats,Computer file formats
Javascript Simple Syndication,RSS,Computer file formats
Esri TIN,GIS file formats,Computer file formats
RIS (file format),Bibliography file formats,Computer file formats
People Finder Interchange Format,Markup languages,Computer file formats
People Finder Interchange Format,XML,Computer file formats
Extensible Forms Description Language,XML markup languages,Computer file formats
Extensible Forms Description Language,Markup languages,Computer file formats
Parameter Value Language,Markup languages,Computer file formats
TimeML,Bibliography file formats,Computer file formats
TimeML,Markup languages,Computer file formats
EbXML,XML markup languages,Computer file formats
EbXML,XML-based standards,Computer file formats
SDEP,XML markup languages,Computer file formats
XML,Bibliography file formats,Computer file formats
XML,Markup languages,Computer file formats
XML,XML,Computer file formats
NZB,XML,Computer file formats
Office Open XML file formats,Document-centric XML-based standards,Computer file formats
Office Open XML file formats,Office Open XML,Computer file formats
Office Open XML file formats,Markup languages,Computer file formats
Office Open XML file formats,XML,Computer file formats
Office Open XML,Document-centric XML-based standards,Computer file formats
Office Open XML,Office Open XML,Computer file formats
Office Open XML,Markup languages,Computer file formats
Office Open XML,XML,Computer file formats
Internationalization Tag Set,Markup languages,Computer file formats
Internationalization Tag Set,XML,Computer file formats
Portable Application Description,XML,Computer file formats
Requirements Interchange Format,XML,Computer file formats
Efficient XML Interchange,Markup languages,Computer file formats
Efficient XML Interchange,XML,Computer file formats
Fielded text,Spreadsheet file formats,Computer file formats
Context management,XML-based standards,Computer file formats
XLIFF,XML-based standards,Computer file formats
Consegi declaration,XML-based standards,Computer file formats
BlogML,Web syndication formats,Computer file formats
BlogML,XML-based standards,Computer file formats
Microsoft Office XML formats,Markup languages,Computer file formats
Microsoft Office XML formats,XML-based standards,Computer file formats
SXBL,XML markup languages,Computer file formats
SXBL,XML-based standards,Computer file formats
SXBL,Declarative markup languages,Computer file formats
SXBL,Scalable Vector Graphics,Computer file formats
GPS Exchange Format,Markup languages,Computer file formats
GPS Exchange Format,XML-based standards,Computer file formats
AS4,XML-based standards,Computer file formats
RSS Cloud,Web syndication formats,Computer file formats
RSS Cloud,RSS,Computer file formats
RSS Cloud,XML-based standards,Computer file formats
RSS,Web syndication formats,Computer file formats
RSS,RSS,Computer file formats
RSS,XML-based standards,Computer file formats
GXL,XML-based standards,Computer file formats
PubSubHubbub,Web syndication formats,Computer file formats
PubSubHubbub,RSS,Computer file formats
PubSubHubbub,XML-based standards,Computer file formats
Synchronized Multimedia Integration Language,XML-based programming languages,Computer file formats
Synchronized Multimedia Integration Language,Markup languages,Computer file formats
Synchronized Multimedia Integration Language,XML-based standards,Computer file formats
Synchronized Multimedia Integration Language,Declarative markup languages,Computer file formats
Synchronized Multimedia Integration Language,Playlist markup languages,Computer file formats
Nested Context Language,Markup languages,Computer file formats
Nested Context Language,XML-based standards,Computer file formats
XDXF,Markup languages,Computer file formats
XDXF,XML-based standards,Computer file formats
XBRL GL,XML markup languages,Computer file formats
XBRL GL,XML-based standards,Computer file formats
Extensible MPEG-4 Textual Format,Markup language stubs,Computer file formats
Extensible MPEG-4 Textual Format,XML-based standards,Computer file formats
AutomationML,XML markup languages,Computer file formats
AutomationML,Industry-specific XML-based standards,Computer file formats
Continuity of Care Document,Industry-specific XML-based standards,Computer file formats
Healthcare Services Specification Project,Industry-specific XML-based standards,Computer file formats
CAEX,Industry-specific XML-based standards,Computer file formats
Clinical Document Architecture,Industry-specific XML-based standards,Computer file formats
OpenDocument,Document-centric XML-based standards,Computer file formats
OpenDocument,Markup languages,Computer file formats
OpenDocument,OpenOffice,Computer file formats
OpenDocument,OpenDocument,Computer file formats
Uniform Office Format,Document-centric XML-based standards,Computer file formats
Uniform Office Format,Markup languages,Computer file formats
EPUB,Document-centric XML-based standards,Computer file formats
Lpod,Markup languages,Computer file formats
Lpod,OpenDocument,Computer file formats
OpenFormula,OpenDocument,Computer file formats
Open Packaging Conventions,Office Open XML,Computer file formats
Query language,Query languages,Computer languages
META II,Parser generators,Computer languages
ThingLab,Visual programming languages,Computer languages
Limnor,Visual programming languages,Computer languages
Tersus,Visual programming languages,Computer languages
Scriptol,Object-oriented programming languages,Computer languages
SAS language,Statistical programming languages,Computer languages
SQL,Data modeling languages,Computer languages
SQL,Declarative programming languages,Computer languages
SQL,Query languages,Computer languages
SQL,SQL,Computer languages
Specification language,Specification languages,Computer languages
ThinBasic,BASIC programming language family,Computer languages
FortranM,Fortran,Computer languages
Object Query Language,Query languages,Computer languages
Architecture Analysis & Design Language,Software modeling language,Computer languages
CDuce,Markup languages,Computer languages
CDuce,XML,Computer languages
RobotML,Robot programming languages,Computer languages
SPARQL,Data modeling languages,Computer languages
SPARQL,Declarative programming languages,Computer languages
SPARQL,RDF data access,Computer languages
SPARQL,Query languages,Computer languages
SPARQL,Resource Description Framework,Computer languages
Plotly,JavaScript visualization toolkits,Computer libraries
Plotly,JavaScript libraries,Computer libraries
Flake (software),KDE Frameworks,Computer libraries
Flake (software),Calligra Suite,Computer libraries
Flake (software),KDE Platform,Computer libraries
Storm (software),Python libraries,Computer libraries
OpenWire (library),Pascal libraries,Computer libraries
Free Component Library,Pascal libraries,Computer libraries
Lazarus Component Library,Pascal libraries,Computer libraries
FCL-Web,Pascal libraries,Computer libraries
Free Pascal Runtime Library,Pascal libraries,Computer libraries
Component Library for Cross Platform,Pascal libraries,Computer libraries
FireMonkey,Pascal libraries,Computer libraries
Visual Component Library,Pascal libraries,Computer libraries
Turbo Vision,Pascal libraries,Computer libraries
PTK Toolkit,C++ libraries,Computer libraries
Xft,Freedesktop.org,Computer libraries
Pkg-config,Freedesktop.org,Computer libraries
The Structure and Interpretation of the Computer Science Curriculum,Scheme (programming language),Computer programming
Gerrit (software),Free software programmed in Java (programming language),Computer programming
Deutsch limit,Visual programming languages,Computer programming
Function prototype,C programming language family,Computer programming
OLE DB provider,SQL data access,Computer programming
Open Database Connectivity,SQL data access,Computer programming
Umple,Free UML tools,Computer programming tools
BBj,Java development tools,Computer programming tools
Plumbr,Java development tools,Computer programming tools
Code Rocket,Java development tools,Computer programming tools
OOPSLA,Programming languages conferences,Computer science conferences
Programming Language Design and Implementation,Programming languages conferences,Computer science conferences
European Conference on Object-Oriented Programming,Programming languages conferences,Computer science conferences
International Conference on Logic Programming,Programming languages conferences,Computer science conferences
International Symposium on Memory Management,Programming languages conferences,Computer science conferences
SPLASH (conference),Programming languages conferences,Computer science conferences
TOOLS conference series,Programming languages conferences,Computer science conferences
Workshop on Generic Programming,Programming languages conferences,Computer science conferences
History of Programming Languages,Programming languages conferences,Computer science conferences
International Conference on Functional Programming,Programming languages conferences,Computer science conferences
European Symposium on Programming,Programming languages conferences,Computer science conferences
Onward!,Programming languages conferences,Computer science conferences
Symposium on Principles of Programming Languages,Programming languages conferences,Computer science conferences
Symposium on Trends in Functional Programming,Programming languages conferences,Computer science conferences
ECMAScript,Ecma standards,Computer standards
ANSI escape code,Ecma standards,Computer standards
OMA Client Provisioning,XML-based standards,Computer standards
SyncML,XML-based standards,Computer standards
SyncML,SyncML,Computer standards
Legal Electronic Data Exchange Standard,Industry-specific XML-based standards,Computer standards
Gtranslator,Computer-assisted translation software that uses GTK+,Computer-assisted translation software for Linux
Virtaal,Computer-assisted translation software that uses GTK+,Computer-assisted translation software for Linux
Spark (XMPP client),Java platform software,Computing
Spark (XMPP client),Free software programmed in Java (programming language),Computing
Mono (software),Mono (software),Computing platforms
Mind Map Architect,Concept- and mind-mapping software that uses GTK+,Concept- and mind-mapping software for Linux
Semantik (software),Concept- and mind-mapping software that uses Qt,Concept- and mind-mapping software for Linux
Labyrinth (software),Concept- and mind-mapping software that uses GTK+,Concept- and mind-mapping software for Linux
E-LOTOS,Process calculi,Concurrency (computer science)
Stochastic Petri net,Petri nets,Concurrency (computer science)
Construction and Analysis of Distributed Processes,Process calculi,Concurrency (computer science)
Language Of Temporal Ordering Specification,Process calculi,Concurrency (computer science)
Unbounded nondeterminism,Process calculi,Concurrency (computer science)
Unbounded nondeterminism,Denotational semantics,Concurrency (computer science)
Temporal logic of actions,Temporal logic,Concurrency (computer science)
Petri net,Petri nets,Concurrency (computer science)
Nets within Nets,Petri nets,Concurrency (computer science)
Vector addition system,Petri nets,Concurrency (computer science)
SequenceL,Concurrent programming languages,Concurrent computing
Java concurrency,Java (programming language),Concurrent computing
SPARK (programming language),Ada (programming language),Concurrent programming languages
Java (programming language),Java (programming language),Concurrent programming languages
Java (programming language),Java specification requests,Concurrent programming languages
AgentSheets,Java (programming language),Concurrent programming languages
ActorFoundry,Free software programmed in Java (programming language),Concurrent programming languages
Erlang (programming language),Erlang (programming language),Concurrent programming languages
Rust (programming language),Rust (programming language),Concurrent programming languages
TYPO3,TYPO3,Content management systems
TYPO3 Flow,TYPO3,Content management systems
LibreOffice,OpenOffice,Cross-platform free software
LibreOffice,LibreOffice,Cross-platform free software
LibreOffice Writer,LibreOffice,Cross-platform free software
LibreOffice Calc,LibreOffice,Cross-platform free software
Apache OpenOffice,OpenOffice,Cross-platform free software
OpenOffice.org,OpenOffice,Cross-platform free software
ATLAS Transformation Language,Java platform software,Cross-platform software
Apache Marmotta,Free software programmed in Java (programming language),Cross-platform software
YEd,Free software programmed in Java (programming language),Cross-platform software
Modelio,Java platform software,Cross-platform software
Modelio,Free software programmed in Java (programming language),Cross-platform software
Apache Stanbol,Free software programmed in Java (programming language),Cross-platform software
Graal (compiler),Java platform software,Cross-platform software
EXo Platform,Software programmed in Java (programming language),Cross-platform software
EXo Platform,Free software programmed in Java (programming language),Cross-platform software
DocFetcher,Java platform software,Cross-platform software
DocFetcher,Free software programmed in Java (programming language),Cross-platform software
NeoDatis ODB,Free software programmed in Java (programming language),Cross-platform software
Ametys CMS,Java platform software,Cross-platform software
Ametys CMS,Free software programmed in Java (programming language),Cross-platform software
Brutos Framework,Free software programmed in Java (programming language),Cross-platform software
Easyrec,Free software programmed in Java (programming language),Cross-platform software
JRipples,Free software programmed in Java (programming language),Cross-platform software
JRipples,Java development tools,Cross-platform software
RealVNC,Free software programmed in Java (programming language),Cross-platform software
LimeWire,Java platform software,Cross-platform software
LimeWire,Free software programmed in Java (programming language),Cross-platform software
Easy Java Simulations,Free software programmed in Java (programming language),Cross-platform software
Freenet,Free software programmed in Java (programming language),Cross-platform software
Cabos,Free software programmed in Java (programming language),Cross-platform software
TightVNC,Free software programmed in Java (programming language),Cross-platform software
JUnit,Free software programmed in Java (programming language),Cross-platform software
JUnit,Java development tools,Cross-platform software
MMBase,Free software programmed in Java (programming language),Cross-platform software
Sunflow,Free software programmed in Java (programming language),Cross-platform software
I2P,Free software programmed in Java (programming language),Cross-platform software
WildFly,Web server software programmed in Java,Cross-platform software
WildFly,Free software programmed in Java (programming language),Cross-platform software
OpenNLP,Java (programming language) libraries,Cross-platform software
Lucene,Java (programming language) libraries,Cross-platform software
Activiti (software),Java (programming language) libraries,Cross-platform software
JBPM,Java (programming language) libraries,Cross-platform software
Open Inventor,Software that uses Qt,Cross-platform software
Open Inventor,Java development tools,Cross-platform software
Open Inventor,Java (programming language) libraries,Cross-platform software
Apache Nutch,Java (programming language) libraries,Cross-platform software
Transmission (BitTorrent client),File sharing software that uses Qt,Cross-platform software
GRASS GIS,Software that uses wxPython,Cross-platform software
Xine,Video software that uses Qt,Cross-platform software
Embroidermodder,Graphics software that uses Qt,Cross-platform software
RapidSVN,Software that uses wxWidgets,Cross-platform software
Scribus,Software that uses Qt,Cross-platform software
Doxygen,Software that uses Qt,Cross-platform software
WxFormBuilder,Software that uses wxWidgets,Cross-platform software
WxFormBuilder,WxWidgets,Cross-platform software
Stellarium (computer program),Software that uses Qt,Cross-platform software
Avidemux,Video software that uses Qt,Cross-platform software
Qt (software),Qt (framework),Cross-platform software
Qt (software),S60 (software platform),Cross-platform software
FileZilla,Software that uses wxWidgets,Cross-platform software
UNetbootin,Software that uses Qt,Cross-platform software
QDevelop,Software that uses Qt,Cross-platform software
WxWidgets,WxWidgets,Cross-platform software
KDE Partition Manager,KDE Extragear,Cross-platform software
